instruction,input,output,text
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ कुन हो?,सयौं थुँगा फूलका,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ कुन हो? ### Response: सयौं थुँगा फूलका"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लाली गुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लाली गुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुनुहुन्छ?,नेपालको प्रधानमन्त्रीको पदमा सर्वोच्च निर्वाचनको आधारमा नेपालको संविधानसभाको बहुमत प्राप्त गर्ने सदस्यलाई नेपालको राष्ट्रपतिले प्रधानमन्त्री नियुक्त गर्दछन्।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुनुहुन्छ? ### Response: नेपालको प्रधानमन्त्रीको पदमा सर्वोच्च निर्वाचनको आधारमा नेपालको संविधानसभाको बहुमत प्राप्त गर्ने सदस्यलाई नेपालको राष्ट्रपतिले प्रधानमन्त्री नियुक्त गर्दछन्।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संघीय लोकतान्त्रिक गणतन्त्र नेपालको संविधानसभा बैठक कहिले भएको थियो?,२०६४ साल असार २९ गते भएको थियो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संघीय लोकतान्त्रिक गणतन्त्र नेपालको संविधानसभा बैठक कहिले भएको थियो? ### Response: २०६४ साल असार २९ गते भएको थियो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रातो लहरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रातो लहरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभा गठन भयो कहिले?,नेपालको संविधान सभा गठन २०६४ सालको माघ ८ गतेमा भएको थियो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभा गठन भयो कहिले? ### Response: नेपालको संविधान सभा गठन २०६४ सालको माघ ८ गतेमा भएको थियो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानन्यायाधीश को हुन्?,चोलेन्द्र शमशेर जबरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानन्यायाधीश को हुन्? ### Response: चोलेन्द्र शमशेर जबरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभा बैठक पहिलो पटक कहिले हुनुभयो?,२०६४ माघ ८ गते,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभा बैठक पहिलो पटक कहिले हुनुभयो? ### Response: २०६४ माघ ८ गते"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभा घोषणा भएको मिति कुन हो?,२०६४ आश्विन ३ गते,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभा घोषणा भएको मिति कुन हो? ### Response: २०६४ आश्विन ३ गते"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको पूर्वाधार प्रधानमन्त्री को हुन् ?,जंग बहादुर राणा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको पूर्वाधार प्रधानमन्त्री को हुन् ? ### Response: जंग बहादुर राणा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सागरमाथाको अन्य नाम के हो?,सागरमाथाको अन्य नाम माउन्ट एभरेस्ट हो।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सागरमाथाको अन्य नाम के हो? ### Response: सागरमाथाको अन्य नाम माउन्ट एभरेस्ट हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लालीगुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लालीगुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी के हो ?,गौर,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी के हो ? ### Response: गौर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान संशोधन कति छ?,नेपालको संविधान २०७२ संशोधन तीन छ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान संशोधन कति छ? ### Response: नेपालको संविधान २०७२ संशोधन तीन छ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संयुक्त राष्ट्र संघको मुख्यालय कहाँ छ ?,संयुक्त राष्ट्र संघको मुख्यालय अमेरिकाको न्युयोर्क शहरमा छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संयुक्त राष्ट्र संघको मुख्यालय कहाँ छ ? ### Response: संयुक्त राष्ट्र संघको मुख्यालय अमेरिकाको न्युयोर्क शहरमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पशु के हो?,गौरीगाइ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पशु के हो? ### Response: गौरीगाइ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संयुक्त राज्य अमेरिकाको पहिलो राष्ट्रपति को हुनु थियो?,जोर्ज वाशिङ्टन,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संयुक्त राज्य अमेरिकाको पहिलो राष्ट्रपति को हुनु थियो? ### Response: जोर्ज वाशिङ्टन"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कुन महाद्विपमा छ?,एसिया,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कुन महाद्विपमा छ? ### Response: एसिया"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादुर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादुर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राजधानी कुन हो?,काठमाडौँ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राजधानी कुन हो? ### Response: काठमाडौँ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पक्षी के हो?,दानफे,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पक्षी के हो? ### Response: दानफे"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथाको अन्य नाम के हो?,एभरेस्ट,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथाको अन्य नाम के हो? ### Response: एभरेस्ट"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको कुन राज्य सबैभन्दा ठूलो छ?,राज्य नम्बर ३,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको कुन राज्य सबैभन्दा ठूलो छ? ### Response: राज्य नम्बर ३"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपाली को राष्ट्रिय फूल के हो?,रातो लहरा (Red Rhododendron),"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपाली को राष्ट्रिय फूल के हो? ### Response: रातो लहरा (Red Rhododendron)"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधान न्यायाधीश को हुन् ?,चोलेन्द्र शम्शेर जबरा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधान न्यायाधीश को हुन् ? ### Response: चोलेन्द्र शम्शेर जबरा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा रहेको छ?,"सगरमाथा 8,848.86 मिटर उचाईमा रहेको छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा रहेको छ? ### Response: सगरमाथा 8,848.86 मिटर उचाईमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हो?,खाग्राज प्रसाद ओली,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हो? ### Response: खाग्राज प्रसाद ओली"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संयुक्त राज्य अमेरिकाको प्रधानन्यायाधीश को हुन्?,जनरल मेरिक गार्लण्ड,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संयुक्त राज्य अमेरिकाको प्रधानन्यायाधीश को हुन्? ### Response: जनरल मेरिक गार्लण्ड"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादुर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादुर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लालीगुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लालीगुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभा बैठक कहिले भएको थियो?,२०६४ साल जेठ २९ गते,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभा बैठक कहिले भएको थियो? ### Response: २०६४ साल जेठ २९ गते"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कती मिटर उचाई भएको छ?,"सगरमाथा 8,848.86 मिटर उचाई भएको छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कती मिटर उचाई भएको छ? ### Response: सगरमाथा 8,848.86 मिटर उचाई भएको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संविधान सभाको पहिलो अध्यक्ष को हुनुहुन्थ्यो?,सुभाष नेम्वाङ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संविधान सभाको पहिलो अध्यक्ष को हुनुहुन्थ्यो? ### Response: सुभाष नेम्वाङ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सागरमाथा कुन देशमा रहेको छ?,सागरमाथा नेपालमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सागरमाथा कुन देशमा रहेको छ? ### Response: सागरमाथा नेपालमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय गीत कस्तो हो ?,"नेपालको राष्ट्रिय गीत 'सयौं थुँगा फूलका हामी, एउटै माला नेपाली' हो।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय गीत कस्तो हो ? ### Response: नेपालको राष्ट्रिय गीत 'सयौं थुँगा फूलका हामी, एउटै माला नेपाली' हो।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी कुन हो?,गाउँडो,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी कुन हो? ### Response: गाउँडो"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय ध्वजको आकार कस्तो छ ?,नेपालको राष्ट्रिय ध्वज दुई त्रिकोणात्मक ज्हुंडा झुंडिएको छ जसलाई चन्द्र-सूर्य ध्वज पनि भनिन्छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय ध्वजको आकार कस्तो छ ? ### Response: नेपालको राष्ट्रिय ध्वज दुई त्रिकोणात्मक ज्हुंडा झुंडिएको छ जसलाई चन्द्र-सूर्य ध्वज पनि भनिन्छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सूर्य सिस्टममा कति ग्रह छन्?,सूर्य सिस्टममा आठ ग्रह छन्।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सूर्य सिस्टममा कति ग्रह छन्? ### Response: सूर्य सिस्टममा आठ ग्रह छन्।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पखरा कुन हो?,दानफे,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पखरा कुन हो? ### Response: दानफे"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको कुन जिल्ला सबैभन्दा ठूलो छ?,दोल्पा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको कुन जिल्ला सबैभन्दा ठूलो छ? ### Response: दोल्पा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पक्षी के हो?,डाँफे,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पक्षी के हो? ### Response: डाँफे"
"If you are a instructor, please answer the questions related to quiz based on the user's query",माउन्ट एभरेस्टको ऊचाई कति हो?,"८,८४८ मिटर","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: माउन्ट एभरेस्टको ऊचाई कति हो? ### Response: ८,८४८ मिटर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सभाको पहिलो सभापति को हुनुहुन्थ्यो?,सुवास नेम्वाङ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सभाको पहिलो सभापति को हुनुहुन्थ्यो? ### Response: सुवास नेम्वाङ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राजधानी कुन हो?,काठमाडौँ,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राजधानी कुन हो? ### Response: काठमाडौँ"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पशु के हो?,गौरी गाई,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पशु के हो? ### Response: गौरी गाई"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय प्राणी के हो?,गाउँटे,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय प्राणी के हो? ### Response: गाउँटे"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको संविधान सर्वोच्च किन हुन्छ?,नेपालको संविधान सर्वोच्च हुन्छ किनकि यो देशको कानूनी आधार हो र अन्य सबै कानूनहरू त्यसको अधीनमा हुनु पर्छन्।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको संविधान सर्वोच्च किन हुन्छ? ### Response: नेपालको संविधान सर्वोच्च हुन्छ किनकि यो देशको कानूनी आधार हो र अन्य सबै कानूनहरू त्यसको अधीनमा हुनु पर्छन्।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय पाठ के हो?,"सयौं थुँगा फूलका हामी, एउटै माला नेपाली","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय पाठ के हो? ### Response: सयौं थुँगा फूलका हामी, एउटै माला नेपाली"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कता रहेको छ?,सगरमाथा नेपालमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कता रहेको छ? ### Response: सगरमाथा नेपालमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथाको अर्को नाम के हो?,एभरेस्ट,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथाको अर्को नाम के हो? ### Response: एभरेस्ट"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उच्च छ?,"सगरमाथा ८,८४८ मिटर उच्च छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उच्च छ? ### Response: सगरमाथा ८,८४८ मिटर उच्च छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",मानव शरीरको सबैभन्दा ठूलो अङ्ग कुन हो?,त्वचा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: मानव शरीरको सबैभन्दा ठूलो अङ्ग कुन हो? ### Response: त्वचा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लालीगुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लालीगुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,लालीगुरास,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: लालीगुरास"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा को अन्य नाम के हो?,माउंट एभरेस्ट,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा को अन्य नाम के हो? ### Response: माउंट एभरेस्ट"
"If you are a instructor, please answer the questions related to quiz based on the user's query",माउन्ट एभरेस्ट कति मिटर उचाईमा रहेको छ?,माउन्ट एभरेस्ट ८८४८ मिटर उचाईमा रहेको छ।,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: माउन्ट एभरेस्ट कति मिटर उचाईमा रहेको छ? ### Response: माउन्ट एभरेस्ट ८८४८ मिटर उचाईमा रहेको छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",माउन्ट एभेरेस्ट कुन देशमा रहेको छ?,नेपालमा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: माउन्ट एभेरेस्ट कुन देशमा रहेको छ? ### Response: नेपालमा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कती मिटर उचाईमा छ ?,"सगरमाथा ८,८४८ मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कती मिटर उचाईमा छ ? ### Response: सगरमाथा ८,८४८ मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सूर्यमा तापक्रम कति हुन्छ?,सूर्यको केन्द्रभित्रको तापक्रम लगभग 15 मिलियन डिग्री सेल्सियस हुन्छ.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सूर्यमा तापक्रम कति हुन्छ? ### Response: सूर्यको केन्द्रभित्रको तापक्रम लगभग 15 मिलियन डिग्री सेल्सियस हुन्छ."
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो?,रूख केशर,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो? ### Response: रूख केशर"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको प्रधानमन्त्री को हुन्?,शेर बहादुर देउवा,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको प्रधानमन्त्री को हुन्? ### Response: शेर बहादुर देउवा"
"If you are a instructor, please answer the questions related to quiz based on the user's query",सगरमाथा कति मिटर उचाईमा छ ?,"सगरमाथा 8,848.86 मिटर उचाईमा छ।","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: सगरमाथा कति मिटर उचाईमा छ ? ### Response: सगरमाथा 8,848.86 मिटर उचाईमा छ।"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल कुन हो ?,लाली गुराँस,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल कुन हो ? ### Response: लाली गुराँस"
"If you are a instructor, please answer the questions related to quiz based on the user's query",संयुक्त राज्य अमेरिकाको प्रथम राष्ट्रपति को हुन्?,जर्ज वाशिंगटन,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: संयुक्त राज्य अमेरिकाको प्रथम राष्ट्रपति को हुन्? ### Response: जर्ज वाशिंगटन"
"If you are a instructor, please answer the questions related to quiz based on the user's query",नेपालको राष्ट्रिय फूल के हो ?,रोडोडेन्ड्रन,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: If you are a instructor, please answer the questions related to quiz based on the user's query ### Input: नेपालको राष्ट्रिय फूल के हो ? ### Response: रोडोडेन्ड्रन"
